1,809,4.0
1,601,5.0
1,238,5.0
1,664,4.5
1,3049,3.0
1,121,4.5
1,85,4.5
1,4327,2.5
1,329,5.0
1,13,4.0
1,63,3.5
1,1597,3.0
1,607,4.0
1,1637,4.0
1,272,4.0
1,585,4.0
1,120,3.0
1,568,5.0
1,752,3.0
1,36658,3.0
1,122,3.5
1,629,4.5
1,788,4.0
1,180,5.0
1,1900,1.5
1,274,4.0
1,597,4.0
1,9741,5.0
1,280,2.5
1,12,3.5
1,680,3.0
1,854,3.5
1,1572,4.0
1,558,3.0
1,9331,4.0
1,5503,3.5
1,36657,4.0
1,557,4.0
1,22,2.5
1,954,4.0
1,424,4.0
1,161,5.0
1,146,3.0
1,24,3.0
1,8358,3.0
1,462,3.5
1,857,4.0
1,2164,4.0
1,745,5.0
1,9806,4.0
1,8587,4.0
1,603,5.0
1,2024,4.5
1,2501,4.5
1,604,5.0
1,453,4.0
1,114,3.5
1,955,3.5
1,9802,3.0
1,2502,4.0
1,105,4.0
1,602,4.5
2,745,4.0
2,278,5.0
2,602,3.0
2,98,4.0
2,8587,4.0
2,13,5.0
2,603,5.0
2,155,5.0
2,597,3.0
2,568,3.5
2,2164,2.0
2,120,4.0
2,1894,4.0
2,807,4.5
2,808,5.0
2,862,5.0
2,180,3.5
2,272,4.0
2,453,4.0
2,809,4.0
2,197,4.0
2,955,4.0
2,424,4.5
2,161,3.5
2,77,5.0
2,954,3.0
2,550,4.5
2,122,4.5
2,604,3.5
2,857,4.5
2,8358,4.0
2,329,4.0
2,22,4.0
2,12,4.5
2,36955,2.5
2,752,4.5
2,2024,4.0
2,1597,3.5
2,640,3.5
2,581,4.0
2,607,3.0
2,1422,3.5
2,671,4.0
3,629,4.5
3,680,3.0
3,2024,3.5
3,3049,2.0
3,11,4.0
3,5503,3.0
3,1891,4.0
3,664,3.0
3,1597,3.5
3,13,4.0
3,1637,3.0
3,1894,3.5
3,10020,2.5
3,788,3.0
3,604,3.5
3,24,3.0
3,2164,3.5
3,603,4.5
3,641,2.0
3,1422,4.0
3,161,3.5
3,187,2.5
3,155,4.5
3,141,4.0
3,752,4.0
3,180,4.0
3,568,4.0
3,9741,2.0
3,8467,3.0
3,14,3.5
3,278,4.5
3,854,1.5
3,9802,3.5
3,329,4.0
3,453,3.5
3,63,4.0
3,857,4.0
3,807,3.5
3,745,4.0
3,98,4.0
3,77,4.0
3,272,4.0
3,1892,4.5
3,597,2.0
3,640,3.5
3,550,4.0
3,602,4.0
