1	0	0	28	0	41	66	90
1	0	0	35	0	57	56	60
1	0	0	25	0	61	72	79
1	0	0	29	1	69	73	72
1	0	0	39	0	63	52	88
1	0	0	34	0	62	83	80
1	0	0	24	0	53	86	60
1	0	0	37	1	59	65	69
1	0	0	33	1	64	64	58
1	0	0	23	1	43	85	90
1	0	0	24	1	68	89	65
1	0	0	32	0	67	98	53
1	0	0	33	0	58	74	81
1	0	0	27	1	48	94	87
1	0	0	32	1	66	73	62
1	0	0	29	0	55	90	61
1	0	0	21	0	62	91	88
1	0	0	21	0	53	59	56
1	0	0	26	1	69	70	89
1	0	0	20	1	42	76	79
1	0	0	28	1	57	85	85
1	0	0	34	1	49	78	59
1	0	0	22	0	66	73	69
1	0	0	21	1	50	72	54
1	0	0	32	1	60	55	85
1	0	0	32	0	42	72	73
1	0	0	20	1	51	69	64
1	0	0	20	1	55	66	66
1	0	0	24	1	53	92	86
1	0	0	32	0	57	87	66
1	0	0	21	1	58	97	54
1	0	0	27	1	43	78	59
1	0	0	33	0	67	52	53
1	0	0	34	1	63	80	74
1	0	0	34	0	64	90	56
0	1	0	36	2	86	54	68
0	1	0	35	2	79	72	60
0	1	0	36	1	55	44	57
0	1	0	37	1	59	69	45
0	1	0	42	2	76	61	68
0	1	0	30	3	72	71	46
0	1	0	28	1	48	55	65
0	1	0	38	1	49	75	61
0	1	0	49	2	59	50	44
0	1	0	50	2	65	56	59
0	1	0	34	2	69	42	59
0	1	0	31	2	90	55	61
0	1	0	49	3	75	52	42
0	1	0	33	1	61	61	60
0	1	0	43	0	69	62	42
0	1	0	51	2	75	73	57
0	1	0	44	3	53	43	60
0	1	0	49	3	86	39	62
0	1	0	27	2	93	58	62
0	1	0	30	1	75	74	70
0	1	0	47	0	46	36	36
0	1	0	38	2	86	70	47
0	1	0	49	1	76	36	66
0	1	0	45	0	80	56	47
0	1	0	44	2	50	43	72
0	1	0	36	3	66	64	62
0	1	0	31	2	64	45	38
0	1	0	31	3	53	72	38
0	1	0	32	3	87	40	35
0	1	0	38	0	87	56	44
0	1	0	48	1	68	71	56
0	1	0	39	2	93	73	53
0	1	0	47	1	52	48	63
0	1	0	39	2	88	52	58
0	0	1	23	0	54	50	41
0	0	1	34	0	46	33	25
0	0	1	33	0	51	38	51
0	0	1	31	0	59	45	35
0	0	1	25	0	51	41	53
0	0	1	40	0	41	61	22
0	0	1	41	0	44	43	44
0	0	1	42	0	40	56	58
0	0	1	34	0	47	69	32
0	0	1	37	0	45	50	56
0	0	1	24	0	47	68	24
0	0	1	34	0	50	63	23
0	0	1	41	0	37	67	29
0	0	1	47	1	43	35	57
0	0	1	28	0	50	62	23
0	0	1	28	0	39	66	31
0	0	1	46	0	51	36	60
0	0	1	27	0	41	35	28
0	0	1	44	0	50	61	40
0	0	1	47	0	48	59	32
0	0	1	27	0	47	56	47
0	0	1	27	0	49	60	58
0	0	1	21	0	59	57	51
0	0	1	22	0	44	65	47
0	0	1	39	0	45	41	25
0	0	1	26	0	43	47	24
0	0	1	45	1	45	39	21
0	0	1	25	0	42	31	32
0	0	1	25	0	45	33	53
0	0	1	50	1	48	64	59
0	0	1	33	0	53	44	21
